venue,bat_team,bowl_team,batsman,bowler
,,,KP Pietersen,AD Mathews
,,,CH Gayle,RS Gavaskar
,,,MC Henriques,R Ashwin
,,,A Flintoff,JM Kemp
,,,FH Edwards,S Ladda
,,,PC Valthaty,SE Bond
,,,RJ Quiney,SJ Srivastava
,,,AD Mascarenhas,Bipul Sharma
,,,AS Raut,Y Nagar
,,,Pankaj Singh,UT Yadav
,,,RS Bopara,MC Henriques
,,,DL Vettori,R McLaren
,,,M Manhas,J Theron
,,,PJ Sangwan,S Narwal
,,,MN van Wyk,AC Voges
,,,AA Bilakhia,KAJ Roach
,,,TL Suman,KA Pollard
,,,Shoaib Ahmed,C Ganapathy
,,,GR Napier,SB Wagh
,,,R Bishnoi,R Sharma
,,,RE van der Merwe,AN Ahmed
,,,KP Appanna,R Sathish
,,,M Vijay,AP Dole
,,,SB Jakati,FY Fazal
,,,L Balaji,PD Collingwood
,,,NV Ojha,MR Marsh
,,,LA Carseldine,L Ablish
,,,RJ Harris,S Sriram
,,,D du Preez,AB McDonald
,,,DS Kulkarni,DE Bollinger
,,,SM Harwood,JD Unadkat
,,,Yashpal Singh,MK Tiwary
,,,AN Ghosh,ND Doshi
,,,AD Mathews,Iqbal Abdulla
,,,SM Katich,AL Menaria
,,,DA Warner,STR Binny
,,,J Botha,AUK Pathan
,,,A Nehra,AG Murtaza
,,,Mashrafe Mortaza,JEC Franklin
,,,GJ Bailey,AC Thomas
,,,AB McDonald,WD Parnell
,,,Y Nagar,M Manhas
,,,Niraj Patel,DT Christian
,,,T Henderson,DB Ravi Teja
,,,A Singh,BA Bhatt
,,,R Ashwin,JJ van der Wath
,,,T Thushara,S Aravind
,,,Mohammad Ashraful,R Ninan
,,,CA Pujara,Shakib Al Hasan
,,,OA Shah,NLTC Perera
,,,AP Tare,RV Gomez
,,,AT Rayudu,PC Valthaty
,,,R Sathish,S Nadeem
,,,R McLaren,S Randiv
,,,MS Bisla,J Syed Mohammad
,,,YA Abdulla,NL McCullum
,,,EJG Morgan,JE Taylor
,,,AA Jhunjhunwala,KMDN Kulasekara
,,,P Dogra,TG Southee
,,,A Uniyal,P Parameswaran
,,,KA Pollard,S Dhawan
,,,MJ Lumb,B Kumar
,,,DR Martyn,AA Kazi
,,,S Narwal,VR Aaron
,,,M Morkel,P Prasanth
,,,Anirudh Singh,Y Gnaneswara Rao
,,,Jaskaran Singh,AA Chavan
,,,FY Fazal,RW Price
,,,AC Voges,GJ Maxwell
,,,MD Mishra,JP Faulkner
,,,J Theron,DAJ Bracewell
,,,R Sharma,Ankit Sharma
,,,Mandeep Singh,DJ Harris
,,,KM Jadhav,TP Sudhindra
,,,SW Tait,SP Narine
,,,PD Collingwood,HV Patel
,,,VS Malik,KK Cooper
,,,SJ Srivastava,GB Hogg
,,,AP Dole,P Awana
,,,Bipul Sharma,MN Samuels
,,,DE Bollinger,AD Russell
,,,BAW Mendis,Azhar Mahmood
,,,B Sumanth,A Chandila
,,,C Madan,P Negi
,,,AG Paunikar,RJ Peterson
,,,AJ Finch,CJ McKay
,,,MR Marsh,R Shukla
,,,STR Binny,MJ Clarke
,,,IR Jaggi,V Pratap Singh
,,,DT Christian,A Ashish Reddy
,,,RV Gomez,BW Hilfenhaus
,,,UBT Chand,K Upadhyay
